City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,Erfurt,50.9833,11.0333,55.02,68,0,4.61,DE,2022-05-13 20:38:33
129,Bafq,31.6128,55.4107,68.92,32,0,17.69,IR,2022-05-13 20:38:33
130,Chabahar,25.2919,60.643,83.53,71,0,7.47,IR,2022-05-13 20:38:34
131,Avarua,-21.2078,-159.775,82.45,83,100,11.5,CK,2022-05-13 20:38:34
132,Atuona,-9.8,-139.0333,78.93,64,65,20.78,PF,2022-05-13 20:36:12
133,Ludhiana,30.9,75.85,87.1,12,0,3.8,IN,2022-05-13 20:35:23
134,Salinas,36.6777,-121.6555,83.98,52,0,19.57,US,2022-05-13 20:36:05
135,Cabo San Lucas,22.8909,-109.9124,87.62,50,0,8.05,MX,2022-05-13 20:38:35
136,Segou,13.4317,-6.2157,97.0,8,0,8.9,ML,2022-05-13 20:38:35
137,Anderson,34.5334,-82.6499,81.25,67,75,9.22,US,2022-05-13 20:35:03
138,Tilichiki,60.4667,166.1,33.98,98,100,2.55,RU,2022-05-13 20:38:36
139,Maceio,-9.6658,-35.7353,78.24,88,75,2.3,BR,2022-05-13 20:36:48
140,Asau,46.4333,26.4,60.96,98,100,3.36,RO,2022-05-13 20:35:36
141,Kodiak,57.79,-152.4072,49.51,40,0,19.57,US,2022-05-13 20:38:42
142,Nieuw Amsterdam,5.8833,-55.0833,86.16,75,40,9.22,SR,2022-05-13 20:38:42
143,Ottumwa,41.02,-92.4113,84.56,51,0,9.22,US,2022-05-13 20:38:43
144,Padang,-0.9492,100.3543,76.44,82,77,4.0,ID,2022-05-13 20:38:43
145,San Patricio,28.017,-97.5169,94.15,45,2,15.5,US,2022-05-13 20:38:44
146,Indiana,40.0003,-86.2503,86.94,40,20,6.91,US,2022-05-13 20:37:16
147,Pacific Grove,36.6177,-121.9166,76.24,71,0,13.8,US,2022-05-13 20:38:45
148,Deputatskiy,69.3,139.9,14.63,79,100,2.15,RU,2022-05-13 20:38:45
149,Bell Ville,-32.6259,-62.6887,64.8,58,100,1.39,AR,2022-05-13 20:38:45
150,Moscow,55.7522,37.6156,50.63,62,13,11.81,RU,2022-05-13 20:36:48
151,Bengkulu,-3.8004,102.2655,77.23,89,43,4.25,ID,2022-05-13 20:38:46
152,Carnarvon,-24.8667,113.6333,64.58,62,0,19.39,AU,2022-05-13 20:38:46
153,Kampot,10.6167,104.1833,82.45,85,100,5.46,KH,2022-05-13 20:38:47
154,Sobolevo,54.4299,31.8996,44.51,89,79,8.05,RU,2022-05-13 20:38:47
155,Abu Samrah,35.3029,37.1841,71.67,36,84,1.7,SY,2022-05-13 20:38:48
156,Victoria,22.2855,114.1577,77.95,96,95,6.38,HK,2022-05-13 20:38:12
157,La Joya,18.6667,-99.4667,96.39,19,82,5.19,MX,2022-05-13 20:38:48
158,Skagen,57.7209,10.5839,50.05,88,97,25.43,DK,2022-05-13 20:38:49
159,Araxa,-19.5933,-46.9406,78.76,47,20,3.44,BR,2022-05-13 20:34:35
160,Kapaa,22.0752,-159.319,80.92,74,20,16.11,US,2022-05-13 20:38:49
161,Cockburn Town,21.4612,-71.1419,79.07,84,100,23.78,TC,2022-05-13 20:38:50
162,Bathsheba,13.2167,-59.5167,84.81,70,20,19.57,BB,2022-05-13 20:38:50
163,Toamasina,-18.1667,49.3833,69.8,94,75,5.75,MG,2022-05-13 20:38:51
164,Hofn,64.2539,-15.2082,40.71,54,94,8.77,IS,2022-05-13 20:38:51
